number;title
287;Объем инвестиций в Томскую область вырос в 2023г почти до 150 млрд руб
288;Порог беспошлинного ввоза товаров в Россию уменьшится с 1 апреля
289;Нецелевые траты, проблемы с закупками: Счетная палата Томской области нашла нарушения на 259 млн руб
290;Чистая прибыль «Сибкабеля» за год сократилась на 27%
291;Минсельхоз оценил ситуацию с яйцами в России
292;Томску нужно еще более 200 млн руб на расселение «авариек» по решениям судов
293;Аренда маленьких квартир в Томске за год подорожала на 61%
294;Ключевая ставка остается на уровне 16%
295;Проект ремонта томского дома с жар-птицами доработают. Выделенные на него деньги пойдут на другие здания
296;Томск заложил 13 млн руб на ремонт старинного деревянного дома, где был пожар
297;Экс-бенефициар «Томскводоканала» Новожилов стал главой молочного холдинга
298;Финансовую пирамиду с инвестициями в криптовалюту нашел ЦБ в Томской области
299;Стоимость продуктов для блинов в Томске выросла почти на 18%
300;Бананы в магазинах Томска за год подорожали на 55%
301;Ставку по УСН «доходы минус расходы» предлагают повысить в Томской области до 15%
302;Исследование: сколько томичам нужно денег в месяц для счастья
303;ЦБ: годовая инфляция в Томской области в январе ускорилась до 8,1%
304;Экспорт лесопромышленной продукции Томской области сократился в 2023г
305;Томские производители начали прощупывать рынки Африки
306;Исследование: средняя зарплата курьера в Томске — 80 тыс руб
307;Прибыль KDV за 2023г стала рекордной. Основатель холдинга Штенгелов получил более 5 млрд руб дивидендов
308;ЦБ отозвал лицензию у QIWI Банка
309;Банк России сохранил ключевую ставку на уровне 16%
310;Статистики: путешествия в ОАЭ и Турцию из Томской области подешевели
311;Два томских предприятия откроют у себя исправительные центры для осужденных
312;Пошлину на экспорт неочищенных кедровых орехов введут в России с августа 2024г
313;Жители Томской области в 2023г взяли в 1,4 раза больше ипотек, чем годом ранее
314;Томская область хочет дружить с Африкой
315;В Томской области импорт вырос в 2 раза, экспорт сократился почти на 26%
316;Томская область отдала в госказну 75% налогов, собранных за 2023г
317;Власти: томские пищевики и торговые сети не стали поднимать потолок цен на яйца и курицу
318;Минимальная зарплата в Томске вырастет до 25 тыс руб
319;Эксперты назвали среднюю ожидаемую зарплату в Томской области
320;Средняя зарплата на вакансиях учителей в Томской области равна 30 тыс руб
321;Поголовье скота, производство мяса, молока и яиц: годовой итог томских сельхозпредприятий
322;В Томской области банки стали чаще возвращать долги по ипотеке за счет продажи квартир
323;Статистики сообщили, какие продукты сильнее всего подорожали в Томске за месяц
